# prog<TAB>section:func<TAB>reason — accepted semantic divergences (verdict WAIVED)
test_stack_var_off	tracepoint/syscalls/sys_enter_nanosleep:probe	C reads uninit stack residue for len>4 (verifier stress test); Rust zero-inits stack_buf — deterministic refinement, test contract only exercises len=4
bpf_flow	flow_dissector:flow_dissector_4	LLVM folds C source !(data+thoff) null-check to !data (ptr-provenance); Rust checks data+thoff faithfully — diverges only for skb->data==0 && thoff!=0, a NULL packet pointer the kernel never produces
test_global_func16	cgroup_skb/ingress:global_func16	C deliberately returns uninit stack residue array[9] (verifier-coverage test); Rust zero-inits the array — deterministic refinement, same class as test_stack_var_off
lru_bug	fentry/do_nanosleep:nanosleep	deliberate translation divergence (documented in lru_bug.rs): nanosleep records the written pointer's address in the Rust-only last_ptr_addr global so printk can reconstruct the C version's LRU node-reuse effect; C has no such global, so its final value trivially differs
lru_bug	fentry/bpf_ktime_get_ns:printk	deliberate translation divergence (documented in lru_bug.rs): C writes a zeroed map value and relies on kernel LRU node reuse to leave stale ptr bytes; Rust reconstructs the same post-state by probe-reading the recorded address and writing those bytes — the map_update trace argument bytes differ by design
test_core_reloc_type_based	raw_tracepoint/sys_enter:test_core_type_based	deliberate translation divergence (documented in test_core_reloc_type_based.rs): rustc has no __builtin_preserve_type_info equivalent, so the translation implements the C source's own #else fallback branch (data.skip = true) while the C object compiles the #if branch with real TYPE_EXISTS/MATCHES/SIZE relocations; the runtime harness honors data.skip
test_xdp_devmap_tailcall	xdp:xdp_devmap	deliberate translation divergence (documented in test_xdp_devmap_tailcall.rs): C establishes PROG_ARRAY ownership by pre-populating .values (flexible-array ELF reloc Rust cannot emit); Rust adds a never-taken out-of-range bpf_tail_call(.., 1) for the same used_maps effect — extra tail_call trace event and success-fork by design
test_ctx	fentry/bpf_testmod_test_hardirq_fn:on_hardirq	deliberate translation divergence (documented in test_ctx.rs): C guards the counter with bpf_in_hardirq(), which reads a percpu ksym via this_cpu_ptr; rustc emits no BTF VAR for extern statics so the ksym is unresolvable, and the probe only ever runs from the hardirq callback it is named for — the guard is always true there, so Rust bumps unconditionally
cgrp_kfunc_success	tp_btf/cgroup_mkdir:test_cgrp_get_release	deliberate translation divergence (documented in cgrp_kfunc_success.rs): the C common header stashes the acquired cgroup in a __kptr-tagged map field; rustc cannot emit BTF_KIND_TYPE_TAG so bpf_kptr_xchg into such a field is rejected at load, and the translation keeps the acquire/release pair without the map round-trip
jit_probe_mem	tc:test_jit_probe_mem	deliberate translation divergence (documented in jit_probe_mem.rs): C stashes the acquired kptr in a __kptr static and reloads it as PTR_UNTRUSTED to exercise JIT probe-mem codegen; rustc cannot emit BTF_KIND_TYPE_TAG, so the translation reads straight off the trusted pointer and releases it explicitly
timer_mim_reject	fentry/bpf_fentry_test1:test1	deliberate translation divergence (documented in timer_mim_reject.rs): a negative-load test whose C form relies on a `.values = {[K] = &inner_htab}` designated initializer in an ARRAY_OF_MAPS; rustc cannot replicate clang's codegen/debuginfo for it, so the map-identity mismatch the verifier must reject is expressed differently
fexit_bpf2bpf	freplace/test_pkt_write_access_subprog:new_test_pkt_write_access_subprog	deliberate translation divergence (documented in fexit_bpf2bpf.rs): the target subprogram's `val` parameter is constant-propagated away by the target object's LLVM, so the trampoline ctx layout the C object assumes differs from the translation's; the harness attaches and validates at runtime
test_tunnel_kern	tc:erspan_set_tunnel	C-object CO-RE bug, not a translation divergence: BPF_CORE_WRITE_BITFIELD(&md.u.md2, ...) computes p = &md.u.md2 + BYTE_OFFSET, but LLVM roots the relo spec at erspan_metadata (access "0:1:1:7"), so libbpf patches BYTE_OFFSET to 11 and the C writes land at md+14/md+15 — past the 12-byte struct — leaving md2 all-zero in the set_tunnel_opt payload; Rust writes the bits at their real offsets
